igbo_word,english_translation,pronunciation_guide
àkwụ,nest; a structure made by birds for laying eggs and sheltering their young ones,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7040.webm
sìte,take (a route); come through or by (a road etc),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/633c78da78ad57d665042fee.mp3
tụ̀,"peck (a bird); bite (snake and other animals with pointed mouth, beak or tongue)",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8af4.mp3
bo ibū,place a load on to someone's head; laden,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b726c.mp3
bì akwụkwọ,print a book,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7050.webm
iheōmūmē,quiz; a short test,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/639dec7ad7816e6f44be67dd.mp3
nchà,soap; a substance whose lather helps lift stains off materials,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8186.webm
tụ ilū,speak a proverb; say a proverb,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7a94.mp3
kọ̄,tell (a story),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7c85.webm
fe arusị̄,to be a follower of African traditional religion,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63ccfa32d8efa780012effc7.mp3
dàgà,up to a point in time; until; till,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63db8768c40a4a0fb79a5184.mp3
-ka,very; a lot; so much,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/64676b40c600c65815c4334c.mp3
nwunyè,wife; a woman who is legally married to a man,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6351f15ee842571bf6123f75.mp3
ri ngo,accept a bribe,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7f0b.webm
kpa ǹgàǹgà,act in a way that shows self-contentment;,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7d04.mp3
igēdē,bench [a long wooden seat],https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/639127e7dfd2844177ca3d50.mp3
bute ọrịà,catch (a disease),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6446555e6e6f125745968d2d.mp3
tọ,"taste, a certain way;",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8ad3.mp3
ìkè,chunk; a large mass of something,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6534805fdf0f50845963ae84.mp3
fòcha,clear (a space): uproot (weed or hairs),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/642cef9bb3db285651874106.mp3
rụ àlà,commit a sacrilege/abomination; be mischievous,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63a2994df5005f7411185e19.mp3
mekata,do for a long time,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63f3715ddedfff6a9bbf7615.mp3
ùgò,"eagle; a large preying bird with a strong hooked beak and long broad wings, known for its keen sight and powerful soaring flight",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6527f54067ebb6145aab7673.mp3
òkwùkwe,"faith, a strong belief that something or someone will work in one's favor",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6008487372c47a4d8345e894.webm
àmụ̀mà,"flash; a quick burst of light, especially bright and at irregular intervals",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7602.mp3
pụ̀ ọ̀lịlị,go for a stroll,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8807.mp3
ilì,grave; a place dug in the ground for the burial of a corpse,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63380822e8c32d65c8f69a63.mp3
òdoòdò,having a yellow colour; yellowish,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6345c7b206468b63e0b2226f.mp3
bà ọ̀gụ̀,launch a fight,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8689.webm
lụsò ọ̀gụ̀,launch a fight at someone; attack,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8762.webm
èkpere,making a request in a humble manner; prayer,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b75c1.mp3
